15,32,32,-6.77509E-03,+3.53842E-01,-3.35422E-01,-3.51273E-02,+1.72665E+00,-1.69809E+00
15,32,32,-6.77509E-03,+3.53842E-01,-3.35422E-01,-3.51273E-02,+1.72665E+00,-1.69809E+00
15,32,33,-6.13244E-03,+3.53922E-01,-3.35575E-01,-3.50587E-02,+1.72654E+00,-1.69797E+00
15,32,34,-6.34417E-03,+3.53884E-01,-3.34918E-01,-3.50623E-02,+1.72666E+00,-1.69791E+00
15,32,36,-6.10790E-03,+3.53826E-01,-3.34593E-01,-3.49785E-02,+1.72671E+00,-1.69800E+00
15,32,37,-5.43015E-03,+3.54074E-01,-3.34847E-01,-3.50187E-02,+1.72660E+00,-1.69801E+00
15,32,38,-6.27858E-03,+3.53879E-01,-3.34800E-01,-3.50070E-02,+1.72663E+00,-1.69817E+00
15,32,39,-6.52487E-03,+3.54562E-01,-3.34796E-01,-3.50153E-02,+1.72661E+00,-1.69822E+00
15,32,41,-5.40626E-03,+3.53761E-01,-3.34711E-01,-3.49866E-02,+1.72660E+00,-1.69816E+00
15,32,42,-6.53208E-03,+3.53270E-01,-3.34964E-01,-3.51762E-02,+1.72664E+00,-1.69787E+00
15,32,43,-6.08281E-03,+3.52776E-01,-3.34577E-01,-3.49687E-02,+1.72655E+00,-1.69796E+00
15,32,44,-5.10201E-03,+3.52002E-01,-3.33530E-01,-3.50350E-02,+1.72648E+00,-1.69790E+00
15,32,46,-4.98008E-03,+3.51971E-01,-3.33598E-01,-3.49069E-02,+1.72653E+00,-1.69795E+00
15,32,47,-5.59015E-03,+3.52363E-01,-3.33212E-01,-3.51050E-02,+1.72652E+00,-1.69786E+00
15,33,11,-6.30195E-03,+7.01819E-01,-6.84463E-01,-4.46014E-02,+3.45345E+00,-3.41403E+00
15,33,11,-6.30195E-03,+7.01819E-01,-6.84463E-01,-4.46014E-02,+3.45345E+00,-3.41403E+00
15,33,12,-5.87848E-03,+7.02175E-01,-6.84318E-01,-4.47679E-02,+3.45349E+00,-3.41407E+00
15,33,13,-5.30843E-03,+7.02939E-01,-6.84276E-01,-4.47130E-02,+3.45357E+00,-3.41408E+00
15,33,15,-5.49396E-03,+7.01815E-01,-6.83833E-01,-4.44473E-02,+3.45338E+00,-3.41413E+00
15,33,28,-2.17061E-01,-7.97263E-03,+2.46769E-01,-1.04397E+00,-2.99697E-02,+1.06681E+00
15,33,28,-2.17061E-01,-7.97263E-03,+2.46769E-01,-1.04397E+00,-2.99697E-02,+1.06681E+00
15,33,29,-3.24160E-01,-1.00131E-02,+3.62054E-01,-1.68035E+00,-4.48382E-02,+1.71724E+00
15,33,30,-3.24489E-01,-9.59653E-03,+3.61016E-01,-1.68030E+00,-4.47159E-02,+1.71705E+00
15,33,31,-3.24366E-01,-9.35790E-03,+3.61271E-01,-1.68029E+00,-4.47708E-02,+1.71711E+00
15,33,33,-3.24487E-01,-9.28592E-03,+3.61772E-01,-1.68039E+00,-4.46915E-02,+1.71704E+00
15,33,47,-6.54569E-01,-1.16805E-02,+7.13357E-01,-3.39660E+00,-5.47308E-02,+3.44159E+00
15,33,47,-6.54569E-01,-1.16805E-02,+7.13357E-01,-3.39660E+00,-5.47308E-02,+3.44159E+00
15,33,48,-6.55121E-01,-1.17130E-02,+7.12993E-01,-3.39672E+00,-5.47228E-02,+3.44155E+00
15,33,49,-6.54684E-01,-1.22776E-02,+7.14661E-01,-3.39652E+00,-5.48038E-02,+3.44151E+00
15,33,50,-6.54600E-01,-1.22860E-02,+7.14358E-01,-3.39648E+00,-5.47669E-02,+3.44148E+00
15,34,0,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00
15,34,0,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00
15,34,2,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00
15,34,3,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00
15,34,4,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00
15,34,6,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00,+0.00000E+00
15,34,16,-6.53964E-01,-1.22373E-02,+7.13428E-01,-3.39654E+00,-5.45294E-02,+3.44146E+00
15,34,16,-6.53964E-01,-1.22373E-02,+7.13428E-01,-3.39654E+00,-5.45294E-02,+3.44146E+00
15,34,17,-6.53723E-01,-1.19811E-02,+7.11134E-01,-3.39629E+00,-5.47849E-02,+3.44152E+00
15,34,18,-6.53171E-01,-1.12282E-02,+7.12101E-01,-3.39631E+00,-5.48302E-02,+3.44144E+00
15,34,20,-6.53967E-01,-1.15077E-02,+7.11958E-01,-3.39649E+00,-5.47632E-02,+3.44151E+00
15,34,21,-6.54023E-01,-1.14820E-02,+7.11951E-01,-3.39654E+00,-5.47467E-02,+3.44147E+00
15,34,44,+3.37665E-01,-3.37186E-01,+8.41066E-04,+1.73504E+00,-1.69534E+00,-4.56077E-02
15,34,44,+3.37665E-01,-3.37186E-01,+8.41066E-04,+1.73504E+00,-1.69534E+00,-4.56077E-02
15,34,45,+3.37976E-01,-3.37701E-01,+2.87250E-04,+1.73492E+00,-1.69517E+00,-4.55910E-02
15,34,46,+3.38064E-01,-3.37303E-01,+6.62831E-04,+1.73469E+00,-1.69501E+00,-4.55949E-02
